fare,tip,dist,long,lat,Count,cluster,State
178248,20564.38,62723.28,-73.7841,40.6486,3561,2,NY
175733.5,19426.39,61188.04,-73.7767,40.645,4154,2,NY
173023,29526.06,52789.42,-73.8635,40.7696,5147,2,NY
172624,21244.28,58458.59,-73.7897,40.6469,3831,2,NY
172491.8,20232.49,33251.74,-73.9915,40.75,14998,2,NY
171963.4,18248.8,60801.86,-73.7833,40.6485,3792,2,NY
171580.1,19548.6,56500.29,-73.79,40.6468,3771,2,NY
170642.3,20030.04,33690.57,-73.9915,40.7499,14784,2,NY
265222.3,32180.63,52711.57,-73.9941,40.7512,22107,2count,NY
192551.5,22400.06,37113.56,-73.9914,40.75,16884,2count,NY
194881.2,23178.98,5043504,-73.994,40.7513,16423,2count,NY
183331.2,21555.44,35675.93,-73.9914,40.7499,16014,2count,NY
196622.6,25368.49,37319.51,-73.9942,40.751,15921,2count,NY
187668.2,23037.99,35356.4,-73.994,40.751,15235,2count,NY
191795.3,24686.89,528858,-73.9946,40.7504,15152,2count,NY
172491.8,20232.49,33251.74,-73.9915,40.75,14998,2count,NY
170642.3,20030.04,33690.57,-73.9915,40.7499,14784,2count,NY
157413.7,18265.33,30730.45,-73.9913,40.75,13595,2count,NY
151917.9,17310.48,29462.09,-73.9913,40.7499,13207,2count,NY
152119.9,17678.21,4252726,-73.9914,40.7501,13192,2count,NY
389204.8,51131.27,118893.1,-73.8709,40.7736,12712,2count,NY
138055.9,15767.26,27013.9,-73.9914,40.7498,12136,2count,NY
141278.4,15963.15,27465.44,-73.9916,40.75,12076,2count,NY
136981,15766.66,26436.6,-73.9913,40.7501,11948,2count,NY
135851.5,15314.84,26617.49,-73.9916,40.7499,11698,2count,NY
147303.5,18621.26,30543.03,-73.9945,40.7505,11544,2count,NY
130732.4,15085.4,25570.78,-73.9913,40.7498,11393,2count,NY
342777.2,51763.64,105825.5,-73.8706,40.7736,11313,2count,NY
340327.2,59978.13,106673.8,-73.8746,40.774,11072,2count,NY
138046.7,17974.18,26136.21,-73.9942,40.7509,10990,2count,NY
126275.9,14612.56,24376.45,-73.9915,40.7501,10864,2count,NY
