Year,Id,Predicted.Values
2014,00799772,Retained
2013,00803516,Retained
2014,00810353,Retained
2014,00812535,Retained
2015,00812535,Retained
2015,00832413,Retained
2015,00833395,Retained
2014,00839076,Retained
2015,00844019,Retained
2013,00847851,Lost
2015,00851729,Retained
2015,00854720,Retained
2015,00854989,Retained
2015,00857240,Retained
2014,00865560,Retained
2015,00866138,Retained
2014,00872001,Retained
2015,00876854,Retained
2015,00877048,Retained
2015,00883253,Retained
2013,00883413,Retained
2015,00890951,Retained
2015,00894796,Retained
2015,00894833,Retained
2014,00895991,Retained
2015,00899597,Retained
2015,00900583,Retained
2015,00900601,Retained
2015,00901036,Retained
2014,00901073,Retained
2015,00901182,Retained
2014,00901455,Retained
2015,00901514,Retained
2015,00901575,Retained
2014,00901869,Retained
2015,00901876,Retained
2014,00902337,Retained
2015,00902438,Retained
2015,00902825,Retained
2015,00903051,Retained
2015,00903553,Retained
2014,00904182,Retained
2014,00904195,Retained
2015,00904550,Retained
2015,00904766,Retained
2014,00904856,Retained
2015,00905765,Retained
2015,00905998,Retained
2015,00906404,Retained
2014,00906588,Retained
2015,00906739,Retained
2015,00906772,Retained
2014,00906813,Retained
2015,00906856,Retained
2013,00906940,Lost
2015,00906954,Retained
2014,00907134,Retained
2013,00907281,Retained
2015,00907545,Retained
2014,00907854,Retained
2014,00908001,Retained
2015,00908563,Retained
2015,00908619,Retained
2015,00908666,Retained
2014,00908982,Retained
2013,00909481,Lost
2015,00909907,Retained
2015,00910060,Retained
2015,00910696,Retained
2014,00910867,Retained
2013,00910934,Retained
2014,00911267,Retained
2015,00911267,Retained
2014,00911292,Retained
2014,00911596,Retained
2014,00911793,Retained
2015,00913336,Retained
2015,00913340,Retained
2015,00913438,Retained
2015,00913704,Retained
2015,00913988,Retained
2015,00914028,Retained
2015,00914340,Retained
2014,00914619,Retained
2015,00914984,Retained
2015,00915324,Retained
2014,00915714,Retained
2014,00916359,Lost
2014,00916393,Retained
2015,00916393,Retained
2015,00916694,Retained
2014,00917076,Retained
2013,00917446,Lost
2015,00917570,Retained
2014,00917579,Retained
2015,00917871,Retained
2015,00917984,Retained
2014,00918029,Retained
2015,00918219,Retained
2015,00918372,Retained
2015,00918931,Retained
2015,00919979,Retained
2015,00920363,Retained
2015,00920464,Retained
2015,00920593,Retained
2014,00921377,Retained
2014,00922188,Retained
2015,00922519,Retained
2015,00923370,Retained
2014,00923858,Retained
2015,00924016,Retained
2015,00924219,Retained
2015,00924220,Retained
2015,00924226,Retained
2015,00924344,Retained
2015,00924470,Retained
2015,00924590,Retained
2014,00924850,Retained
2015,00924856,Retained
2015,00925013,Retained
2015,00925067,Retained
2015,00925520,Retained
2015,00925746,Retained
2014,00925945,Retained
2014,00926404,Retained
2014,00926430,Retained
2013,00926562,Lost
2015,00926722,Retained
2015,00926913,Retained
2015,00927086,Retained
2015,00927382,Retained
2013,00927482,Retained
2013,00927749,Retained
2015,00927853,Retained
2015,00927868,Retained
2015,00928095,Retained
2014,00928453,Retained
2014,00928802,Retained
2015,00928888,Retained
2015,00929543,Retained
2014,00929809,Retained
2015,00929897,Retained
2014,00930066,Retained
2015,00930448,Retained
2015,00930804,Retained
2015,00931190,Retained
2015,00931649,Retained
2014,00931840,Retained
2015,00932430,Retained
2013,00932642,Retained
2015,00933452,Retained
2015,00933616,Retained
2014,00933652,Retained
2015,00933782,Retained
2014,00934251,Retained
2013,00934687,Lost
2015,00934758,Retained
2015,00935282,Retained
2015,00936555,Retained
2015,00936680,Retained
2014,00936709,Retained
2015,00936709,Retained
2015,00937462,Retained
2015,00938540,Retained
2015,00940191,Retained
2014,00940415,Retained
2015,00941052,Retained
2015,00941428,Retained
2015,00941605,Retained
2015,00941863,Retained
2015,00942296,Retained
2014,00942930,Retained
2014,00942930,Retained
2014,00943093,Retained
2015,00943128,Retained
2014,00943486,Retained
2015,00943660,Retained
2015,00944484,Retained
2014,00944832,Retained
2015,00944943,Retained
2014,00945058,Retained
2015,00945235,Retained
2015,00945361,Retained
2015,00945439,Retained
2015,00945998,Retained
2015,00946161,Retained
2014,00946185,Retained
2014,00946311,Retained
2014,00946548,Retained
2014,00946602,Retained
2015,00946768,Retained
2014,00947066,Retained
2015,00947250,Retained
2014,00947495,Retained
2013,00947589,Retained
2013,00947589,Retained
2015,00947642,Retained
2014,00947695,Retained
2013,00947798,Lost
2014,00948225,Retained
2015,00948337,Retained
2015,00948918,Retained
2014,00949318,Retained
2015,00949439,Retained
2015,00949644,Retained
2014,00949694,Retained
