id,lat,long,State
2557,40.7494,-73.9918,NY
2558,40.6047,-73.9764,NY
2559,40.7642,-73.9557,NY
2560,40.7592,-73.9623,NY
2561,40.6373,-73.8858,NY
2562,40.8644,-73.9081,NY
2563,40.66,-73.9397,NY
2564,40.7485,-73.9731,NY
2565,40.691,-73.9917,NY
2566,40.8339,-73.9087,NY
2567,40.6812,-73.8601,NY
2568,40.7662,-73.9563,NY
2569,40.7114,-73.9595,NY
2570,40.6453,-74.0229,NY
2571,40.6808,-73.9584,NY
2572,40.7298,-73.997,NY
2573,40.7486,-73.8201,NY
2574,40.6915,-73.9873,NY
2575,40.7143,-74.0132,NY
2576,40.7356,-73.9849,NY
2577,40.7665,-73.9942,NY
2578,40.8614,-73.9233,NY
2579,40.7682,-73.8752,NY
2580,40.723,-73.994,NY
2581,40.7065,-74.0127,NY
2582,40.7396,-73.9963,NY
2583,40.7609,-73.9691,NY
2584,40.7684,-73.9817,NY
2585,40.7601,-73.9214,NY
2586,40.7668,-73.982,NY
2587,40.8442,-73.9357,NY
2588,40.7007,-73.9932,NY
2589,40.7007,-73.9897,NY
2590,40.7508,-73.9744,NY
2591,40.7336,-73.9996,NY
2592,40.7358,-74.006,NY
2593,40.6458,-74.0024,NY
2594,40.7241,-73.9789,NY
2595,40.7644,-73.8256,NY
2596,40.7824,-73.9826,NY
2597,40.8834,-73.9142,NY
2598,40.6934,-73.9995,NY
2599,40.8205,-73.9385,NY
2600,40.8323,-73.9096,NY
2601,40.6758,-73.9809,NY
2602,40.7828,-73.9595,NY
2603,40.6152,-74.0316,NY
2604,40.7428,-73.9197,NY
2605,40.7465,-73.9839,NY
2606,40.7323,-73.9964,NY
2607,40.667,-73.767,NY
2608,40.7717,-73.9532,NY
2609,40.809,-73.9404,NY
2610,40.6993,-73.959,NY
2611,40.8324,-73.9409,NY
2612,40.7631,-73.9682,NY
2613,40.7529,-73.8925,NY
2614,40.6909,-73.9297,NY
2615,40.8042,-73.9667,NY
2616,40.7564,-73.9643,NY
2617,40.789,-73.9503,NY
2618,40.7585,-73.9751,NY
2619,40.7659,-73.9634,NY
2620,40.7159,-73.9452,NY
2621,40.7011,-73.9526,NY
2622,40.7609,-73.967,NY
2623,40.7494,-73.9522,NY
2624,40.7879,-73.9494,NY
2625,40.6808,-73.7639,NY
2626,40.7396,-73.9872,NY
2627,40.7621,-73.9746,NY
2628,40.8219,-73.8119,NY
2629,40.6757,-73.9686,NY
2630,40.7358,-74.0016,NY
2631,40.8504,-73.9367,NY
2632,40.8104,-73.9537,NY
2633,40.7723,-73.9805,NY
2634,40.7647,-73.9781,NY
2635,40.6974,-73.9313,NY
2636,40.6825,-73.8709,NY
2637,40.7892,-73.9787,NY
2638,40.7522,-73.9391,NY
2639,40.7175,-73.9849,NY
2640,40.6808,-73.9795,NY
2641,40.7361,-73.9807,NY
2642,40.6848,-73.9692,NY
2643,40.786,-73.9427,NY
2644,40.7775,-73.983,NY
2645,40.7713,-73.9801,NY
2646,40.7041,-74.0102,NY
2647,40.7673,-73.9666,NY
2648,40.7587,-73.9707,NY
2649,40.6698,-73.9892,NY
2650,40.7567,-73.9865,NY
2651,40.7613,-73.9759,NY
2652,40.6955,-73.9484,NY
2653,40.7338,-73.8716,NY
2654,40.7288,-74.0006,NY
2655,40.802,-73.9575,NY
2656,40.7228,-73.9471,NY
2657,40.6894,-73.9422,NY
2658,40.7284,-73.9954,NY
2659,40.7028,-73.9942,NY
2660,40.7442,-73.9919,NY
2661,40.7238,-73.8688,NY
2662,40.7056,-74.0171,NY
2663,40.7947,-73.9364,NY
2664,40.7306,-73.8602,NY
2665,40.7237,-73.991,NY
2666,40.7631,-73.9996,NY
2667,40.7198,-73.9623,NY
2668,40.8062,-73.926,NY
2669,40.709,-73.9685,NY
2670,40.74,-73.9241,NY
2671,40.7205,-73.9615,NY
2672,40.824,-73.9467,NY
2673,40.7249,-73.9923,NY
2674,40.8118,-73.9611,NY
2675,40.722,-73.9508,NY
2676,40.7573,-73.9858,NY
2677,40.8403,-73.8459,NY
2678,40.7139,-73.9996,NY
2679,40.7458,-73.9763,NY
2680,40.7628,-73.934,NY
2681,40.6778,-73.9697,NY
2682,40.7928,-73.9695,NY
2683,40.7313,-73.8288,NY
2684,40.7636,-73.9714,NY
2685,40.7496,-74.0028,NY
2686,40.7345,-73.9833,NY
2687,40.824,-73.9448,NY
2688,40.7631,-73.9134,NY
2689,40.6972,-73.9046,NY
2690,40.6823,-74.0009,NY
2691,40.7389,-73.9873,NY
2692,40.6767,-73.8195,NY
2693,40.7546,-73.917,NY
2694,40.7371,-73.9865,NY
2695,40.7034,-73.9425,NY
2696,40.6903,-73.9921,NY
2697,40.7568,-73.8941,NY
2698,40.7614,-73.9783,NY
2699,40.7518,-73.9758,NY
2700,40.6851,-73.9692,NY
2701,40.7388,-73.9771,NY
2702,40.7117,-74.0104,NY
2703,40.7562,-73.998,NY
2704,40.7631,-73.9625,NY
2705,40.7684,-73.987,NY
2706,40.8469,-73.9206,NY
2707,40.7436,-73.9906,NY
2708,40.694,-73.9926,NY
2709,40.7878,-73.9712,NY
2710,40.7177,-73.9858,NY
2711,40.7674,-73.9563,NY
2712,40.6962,-73.9419,NY
2713,40.7371,-73.9903,NY
2714,40.7484,-73.9389,NY
2715,40.7448,-73.9343,NY
2716,40.7415,-73.9854,NY
2717,40.746,-73.9134,NY
2718,40.7244,-73.9935,NY
2719,40.6163,-73.9931,NY
2720,40.7271,-73.9916,NY
2721,40.6483,-73.9281,NY
2722,40.7679,-73.9604,NY
2723,40.7218,-73.8408,NY
2724,40.6008,-73.9381,NY
2725,40.7557,-73.9872,NY
2726,40.683,-73.92,NY
2727,40.8033,-73.9648,NY
2728,40.7448,-73.9759,NY
2729,40.7384,-74.0022,NY
2730,40.7203,-74.0063,NY
2731,40.8695,-73.8282,NY
2732,40.7177,-73.8171,NY
2733,40.7633,-73.9748,NY
2734,40.7653,-73.9821,NY
2735,40.7756,-73.9463,NY
2736,40.7988,-73.9669,NY
2737,40.7573,-73.814,NY
2738,40.6947,-73.802,NY
2739,40.7428,-73.8992,NY
2740,40.7476,-73.9767,NY
2741,40.7545,-73.8956,NY
2742,40.6098,-73.9225,NY
2743,40.6692,-73.9863,NY
